Region;Contagiados con Atraso;Contagiados;Muertes;Muertes_DEIS;Recuperados;Infectados_Actuales;UCI;Fecha;Total_Contagiados
Prov_Arauco;415;415;;11;;;;7/4/2020;
Prov_Concepción;4883;4883;;108;;;;7/5/2020;
Prov_Biobío;1938;1938;;29;;;;7/5/2020;
Prov_Arauco;422;422;;11;;;;7/5/2020;
Prov_Concepción;4966;4966;;113;;;;7/6/2020;
Prov_Biobío;1951;1951;;29;;;;7/6/2020;
Prov_Arauco;430;430;;11;;;;7/6/2020;
Prov_Concepción;5039;5039;;114;;;;7/7/2020;
Prov_Biobío;1979;1979;;30;;;;7/7/2020;
Prov_Arauco;436;436;;12;;;;7/7/2020;
Prov_Concepción;5134;5134;;117;;;;7/8/2020;
Prov_Biobío;2034;2034;;30;;;;7/8/2020;
Prov_Arauco;450;450;;13;;;;7/8/2020;
Prov_Concepción;5239;5239;;120;;;;7/9/2020;
Prov_Biobío;2097;2097;;30;;;;7/9/2020;
Prov_Arauco;466;466;;13;;;;7/9/2020;
Prov_Concepción;5322;5322;;123;;;;7/10/2020;
Prov_Biobío;2136;2136;;30;;;;7/10/2020;
Prov_Arauco;486;486;;16;;;;7/10/2020;
Prov_Concepción;5438;5438;;124;;;;7/11/2020;
Prov_Biobío;2169;2169;;31;;;;7/11/2020;
Prov_Arauco;494;494;;17;;;;7/11/2020;
Prov_Concepción;5507;5507;;127;;;;7/12/2020;
Prov_Biobío;2215;2215;;32;;;;7/12/2020;
Prov_Arauco;503;503;;17;;;;7/12/2020;
Prov_Concepción;5554;5554;;129;;;;7/13/2020;
Prov_Biobío;2240;2240;;32;;;;7/13/2020;
Prov_Arauco;513;513;;18;;;;7/13/2020;
Prov_Concepción;5635;5635;;130;;;;7/14/2020;
Prov_Biobío;2269;2269;;33;;;;7/14/2020;
Prov_Arauco;522;522;;18;;;;7/14/2020;
Prov_Concepción;5747;5747;;131;;;;7/15/2020;
Prov_Biobío;2313;2313;;34;;;;7/15/2020;
Prov_Arauco;536;536;;19;;;;7/15/2020;
Prov_Concepción;5857;5857;;133;;;;7/16/2020;
Prov_Biobío;2355;2355;;35;;;;7/16/2020;
Prov_Arauco;550;550;;19;;;;7/16/2020;
Prov_Concepción;5969;5969;;138;;;;7/17/2020;
Prov_Biobío;2374;2374;;35;;;;7/17/2020;
Prov_Arauco;568;568;;19;;;;7/17/2020;
Prov_Concepción;6059;6059;;139;;;;7/18/2020;
Prov_Biobío;2410;2410;;35;;;;7/18/2020;
Prov_Arauco;590;590;;19;;;;7/18/2020;
