Region,Contagiados con Atraso,Contagiados,Muertes,Muertes_DEIS,Recuperados,Infectados_Actuales,UCI,Fecha,Total_Contagiados
Itata,423,423,,29,,,,9/21/2020,
Punilla,1180,1180,,32,,,,9/21/2020,
Diguillín,4495,4495,,102,,,,9/22/2020,
Itata,425,425,,29,,,,9/22/2020,
Punilla,1186,1186,,32,,,,9/22/2020,
Diguillín,4529,4529,,102,,,,9/23/2020,
Itata,430,430,,29,,,,9/23/2020,
Punilla,1204,1204,,32,,,,9/23/2020,
Diguillín,4576,4576,,103,,,,9/24/2020,
Itata,436,436,,29,,,,9/24/2020,
Punilla,1229,1229,,32,,,,9/24/2020,
Diguillín,4608,4608,,104,,,,9/25/2020,
Itata,440,440,,29,,,,9/25/2020,
Punilla,1254,1254,,32,,,,9/25/2020,
Diguillín,4634,4634,,105,,,,9/26/2020,
Itata,447,447,,30,,,,9/26/2020,
Punilla,1262,1262,,32,,,,9/26/2020,
Diguillín,4649,4649,,108,,,,9/27/2020,
Itata,451,451,,30,,,,9/27/2020,
Punilla,1287,1287,,33,,,,9/27/2020,
Diguillín,4659,4659,,108,,,,9/28/2020,
Itata,460,460,,30,,,,9/28/2020,
Punilla,1288,1288,,33,,,,9/28/2020,
Diguillín,4693,4693,,109,,,,9/29/2020,
Itata,461,461,,30,,,,9/29/2020,
Punilla,1302,1302,,33,,,,9/29/2020,
Diguillín,4729,4729,,109,,,,9/30/2020,
